train_acc,train_loss,valid_acc,valid_loss
61.08,0.66367394759655,65.165,0.6242697780847549
67.15,0.6042343937277794,68.34,0.5901783988475799
71.695,0.5512511836528778,75.39,0.5053579654693604
75.415,0.5005875991582871,79.105,0.447494252038002
79.47,0.4352283821105957,81.795,0.39938976365327833
82.555,0.38574348313808443,85.145,0.3377387893795967
84.87,0.33981323295533655,85.76,0.324920092061162
88.28,0.27660874259471896,89.21,0.2563727692782879
90.08,0.2355944122940302,91.655,0.20438981901705264
91.715,0.2006353725835681,93.42,0.16677349018007517
92.96,0.176099963529408,93.71,0.15631361297443508
93.55,0.15850052071996032,91.29,0.20686544198766352
94.465,0.1370841071922332,95.31,0.113475612744689
94.805,0.12840511201079935,95.38,0.11471468024980278
95.695,0.11143987724278122,93.915,0.15555626677591353
